FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
6007,County,Butte,Total for Ages 0_17,Total,2013,Number,46322
6009,County,Calaveras,Total for Ages 0_17,Total,2013,Number,8082
6013,County,Contra Costa,Total for Ages 0_17,Male,2013,Number,130508
6017,County,El Dorado,Total for Ages 0_17,Total,2013,Number,38545
6021,County,Glenn,Total for Ages 0_17,Male,2013,Number,3959
6023,County,Humboldt,Total for Ages 0_17,Male,2013,Number,14089
6027,County,Inyo,Total for Ages 0_17,Total,2013,Number,3880
6031,County,Kings,Total for Ages 0_17,Male,2013,Number,22848
6033,County,Lake,Total for Ages 0_17,Male,2013,Number,7063
6035,County,Lassen,Total for Ages 0_17,Total,2013,Number,5684
6037,County,Los Angeles,Total for Ages 0_17,Total,2013,Number,2361842
6041,County,Marin,Total for Ages 0_17,Male,2013,Number,26992
6045,County,Mendocino,Total for Ages 0_17,Total,2013,Number,19214
6049,County,Modoc,Total for Ages 0_17,Male,2013,Number,999
6051,County,Mono,Total for Ages 0_17,Male,2013,Number,1456
6053,County,Monterey,Total for Ages 0_17,Total,2013,Number,113911
6055,County,Napa,Total for Ages 0_17,Total,2013,Number,30772
6059,County,Orange,Total for Ages 0_17,Male,2013,Number,377492
6061,County,Placer,Total for Ages 0_17,Male,2013,Number,41865
6063,County,Plumas,Total for Ages 0_17,Total,2013,Number,3220
6065,County,Riverside,Total for Ages 0_17,Total,2013,Number,609278
6069,County,San Benito,Total for Ages 0_17,Male,2013,Number,7878
6073,County,San Diego,Total for Ages 0_17,Total,2013,Number,768509
6077,County,San Joaquin,Total for Ages 0_17,Male,2013,Number,102030
6079,County,San Luis Obispo,Total for Ages 0_17,Male,2013,Number,26796
6083,County,Santa Barbara,Total for Ages 0_17,Total,2013,Number,100786
6087,County,Santa Cruz,Total for Ages 0_17,Male,2013,Number,30256
6089,County,Shasta,Total for Ages 0_17,Male,2013,Number,20140
6091,County,Sierra,Total for Ages 0_17,Total,2013,Number,482
6093,County,Siskiyou,Total for Ages 0_17,Total,2013,Number,9091
6095,County,Solano,Total for Ages 0_17,Male,2013,Number,51513
6097,County,Sonoma,Total for Ages 0_17,Male,2013,Number,52554
6099,County,Stanislaus,Total for Ages 0_17,Total,2013,Number,144926
6101,County,Sutter,Total for Ages 0_17,Total,2013,Number,25537
6105,County,Trinity,Total for Ages 0_17,Male,2013,Number,1235
6107,County,Tulare,Total for Ages 0_17,Male,2013,Number,73841
6109,County,Tuolumne,Total for Ages 0_17,Total,2013,Number,9153
6111,County,Ventura,Total for Ages 0_17,Total,2013,Number,206229
6115,County,Yuba,Total for Ages 0_17,Male,2013,Number,10870
